NEIGHBORHOOD_ID,NEIGHBORHOOD_NAME,BOROUGH_ID
213,ROSSVILLE-CHARLESTON,5
214,ROSSVILLE-PORT MOBIL,5
215,ROSSVILLE-RICHMOND VALLEY,5
216,SCHUYLERVILLE/PELHAM BAY,2
217,SEAGATE,3
218,SHEEPSHEAD BAY,3
219,SILVER LAKE,5
220,SO. JAMAICA-BAISLEY PARK,4
221,SOHO,1
222,SOUNDVIEW,2
223,SOUTH BEACH,5
224,SOUTH JAMAICA,4
225,SOUTH OZONE PARK,4
226,SOUTHBRIDGE,1
227,SPRING CREEK,3
228,SPRINGFIELD GARDENS,4
229,ST. ALBANS,4
230,STAPLETON,5
231,STAPLETON-CLIFTON,5
232,STATEN ISLAND-UNKNOWN,5
233,SUNNYSIDE (QUEENS),4
234,SUNNYSIDE (STATEN ISLAND),5
235,SUNSET PARK,3
236,THROGS NECK,2
237,TODT HILL,5
238,TOMPKINSVILLE,5
239,TOTTENVILLE,5
240,TRAVIS,5
241,TRIBECA,1
242,UPPER BAY,1
243,UPPER EAST SIDE (59-79),1
244,UPPER EAST SIDE (79-96),1
245,UPPER EAST SIDE (96-110),1
246,UPPER WEST SIDE (59-79),1
247,UPPER WEST SIDE (79-96),1
248,UPPER WEST SIDE (96-116),1
249,VAN CORTLANDT PARK,2
250,WAKEFIELD,2
251,WASHINGTON HEIGHTS LOWER,1
252,WASHINGTON HEIGHTS UPPER,1
253,WEST NEW BRIGHTON,5
254,WESTCHESTER,2
255,WESTERLEIGH,5
256,WHITESTONE,4
257,WILLIAMSBRIDGE,2
258,WILLIAMSBURG-CENTRAL,3
259,WILLIAMSBURG-EAST,3
260,WILLIAMSBURG-NORTH,3
261,WILLIAMSBURG-SOUTH,3
262,WILLOWBROOK,5
263,WILLOWBROOK-SEAVIEW,5
264,WINDSOR TERRACE,3
265,WOODHAVEN,4
266,WOODLAWN,2
267,WOODROW,5
268,WOODSIDE,4
269,WYCKOFF HEIGHTS,3
